id;order_type;description;size;color;quantity;status;reason
1;overriding;Small copying Oregon;XXS;salmon;45048;APPROVED;Wooden
2;Holy See (Vatican City State) Viaduct sexy;context-sensitive empowering input;XS;ivory;63434;OPEN;navigating SCSI
3;Intranet portals;Rustic Fresh Pants Security Inverse;XXL;blue;36758;RECEIVED;Borders
4;Borders;Manor digital;M;orange;45532;REJECTED;Pound Sterling secured line withdrawal
5;Internal indexing Hat;repurpose;XXL;turquoise;73085;APPROVED;deliver bricks-and-clicks
6;Unbranded Cotton Tuna archive Berkshire;Somoni Persistent;XL;white;1980;REJECTED;SSL Consultant
7;Motorway Granite;Spurs help-desk;M;sky blue;15137;OPEN;Small
8;Central;Place Pre-emptive;L;sky blue;48985;APPROVED;deliver
9;Rubber Bolivia out-of-the-box;payment parse Savings Account;XXS;grey;36578;APPROVED;Beauty target
10;withdrawal initiatives index;Assurance enterprise;L;black;4725;OPEN;Isle of Man microchip
